rex,general_code,full_code,taric_code,description,origin,preference,procedure,lines,last_used
,02071130,0207113000,00,MEAT,IT,300,4000,2,2026-02-06
,02101219,0210121900,00,BACON,IT,300,4000,2,2026-04-10
,02101930,0210193000,00,Meat,IT,300,4000,1,2026-04-10
,03061210,0306121099,99,LOBSTER,GB,100,4000,1,2026-04-19
,03061500,0306150000,00,LOBSTER,GB,100,4000,1,2026-04-19
,04041084,0404108400,00,FERMENTED WHEY,NL,300,4000,1,2026-07-02
,04051011,0405101100,00,BURRO BUTTER,IT,300,4000,1,2026-02-08
,04051050,0405105000,00,CHEESE,IT,300,4000,1,2026-07-05
,04061030,0406103090,90,CHEESE,IT,300,4000,65,2026-08-02
,04061050,0406105090,90,CHEESE,IT,300,4000,11,2026-08-02
,04061080,0406108080,80,CHEESE,IT,300,4000,2,2026-07-05
,04062000,0406200000,00,cheese,IT,300,4000,5,2026-08-09
,04064050,0406405000,00,cheese,IT,300,4000,2,2026-03-01
,04064090,0406409000,00,CHEESE,GR,300,4000,1,2026-02-17
,04069032,0406903200,00,CHEESE,GR,300,4000,2,2026-06-02
,04069035,0406903500,00,CHEESE,GR,300,4000,2,2026-06-02
,04069050,0406905000,00,CHEESE,IT,300,4000,2,2026-08-02
,04069061,0406906100,00,CHEESE,IT,300,4000,10,2026-08-09
,04069063,0406906390,90,cheese,IT,300,4000,2,2026-07-26
,04069069,0406906900,00,cheese,IT,300,4000,2,2026-02-08
,04069073,0406907300,00,Provolone,IT,300,4000,1,2026-01-04
,04069075,0406907510,10,Asiago,IT,300,4000,1,2026-01-04
,04069084,0406908400,00,CHEESE,GR,300,4000,2,2026-06-02
,04069092,0406909290,90,cheese,IT,300,4000,2,2026-01-22
,04069099,0406909900,00,CHEESE,GR,300,4000,2,2026-06-02
,07108069,0710806990,90,MUSHROOMS,CN,100,4000,65,2026-08-16
,07108080,0710808000,00,MUSHRUM,EG,100,4000,5,2026-07-04
,07108085,0710808500,00,ASPARAGUS,CL,100,4000,7,2026-08-02
,07114000,0711400000,00,GHERKINS,IN,100,4000,16,2026-08-16
,07115900,0711590090,90,MUSHROOMS,CN,100,4000,2,2026-05-17
,07119010,0711901000,00,CALABRIAN CRUSHED PEPPERS,IT,100,4000,2,2026-07-11
,07119070,0711907000,00,CAPERS,MA,100,4000,16,2026-08-16
,07119080,0711908000,00,GARLIC CLOVES IN BRINE,CN,100,4000,12,2026-08-09
,07123900,0712390031,31,MUSHROOMS,CN,100,4000,3,2026-08-09
,07123900,0712390039,39,Mushrooms,CN,100,4000,1,2026-05-18
,07129030,0712903000,00,TOMATOES,IT,300,4000,2,2026-02-24
,07132000,0713200000,00,CHICPEAS,IT,100,4000,2,2026-03-31
,07133390,0713339000,00,CANNELLINI BEANS BORLOTTI BEANS,IT,100,4000,1,2026-03-31
,07134000,0713400000,00,UMBRIAN LENTILS,IT,100,4000,1,2026-03-31
,08025200,0802520000,00,NATURAL DICED PISTACHIOS,IT,100,4000,1,2026-04-20
,08052190,0805219019,19,MANDARIN SEGMENTS,NZ,100,4000,2,2026-07-09
,08111090,0811109000,00,STRAWBERRIES,EG,100,4000,7,2026-05-28
,08112031,0811203100,00,RASPBERRIES,UA,100,4000,2,2026-05-28
,08119095,0811909590,90,FOREST BERRIES,IT,300,4000,2,2026-05-28
,08134065,0813406500,00,LYCHEE WHOLE,NZ,100,4000,3,2026-07-09
,08134095,0813409580,80,FREEZE DRIED FRUIT SLICES,NZ,100,4000,3,2026-07-09
,08135099,0813509980,80,COCONUT CRUMBS,NZ,100,4000,2,2026-07-09
,09011100,0901110000,00,GREEN COFFEE BEANS,IN,100,4000,17,2026-06-30
,09011200,0901120000,00,DECAFFENIATED COFFEE,ID,100,4000,3,2026-04-10
,09024000,0902400000,00,DECAF TEA,CH,100,4000,94,2026-08-15
,09102010,0910201000,00,SAFFRON,ES,100,4000,4,2026-07-30
,09102090,0910209000,00,SAFFRON POWDER,ES,100,4000,1,2026-05-05
,10063096,1006309690,90,RISOTTO,IT,300,4000,1,2026-01-25
,11010011,1101001100,00,wheat,IT,300,4000,1,2026-03-01
,11010015,1101001500,00,CHILLED FOODSTUFFS AT 2 TO 4 DEGREES,IT,300,4000,1,2026-06-18
,11031110,1103111000,00,wheat,IT,300,4000,1,2026-03-01
,13021970,1302197000,00,GINKGO,CN,100,4000,9,2026-07-16
,13022010,1302201079,79,PECTIN,DE,300,4000,1,2026-03-17
,13023100,1302310000,00,AGAR,ES,300,4000,1,2026-03-17
,15092000,1509200090,90,OLIVE OIL,IT,300,4000,2,2026-05-24
,15101000,1510100000,00,OLIVE OIL,IT,300,4000,1,2026-02-01
,15162095,1516209500,00,GLYCEROL TRIOLEATE,BE,300,4000,2,2026-02-18
,15179099,1517909990,90,BLEND SUNFLOWER OIL,IT,300,4000,1,2026-02-01
,16010091,1601009110,10,ITALIAN SAUSAGES,IT,300,4000,1,2026-01-18
,16010091,1601009190,90,pork,IT,300,4000,2,2026-07-26
,16024110,1602411090,90,DOMESTIC SWINE,IT,300,4000,1,2026-04-10
,16024919,1602491990,90,DOMESTIC SWINE,IT,300,4000,2,2026-02-24
,16041431,1604143190,90,TUNA,SB,100,4000,1,2026-07-24
,16041436,1604143690,90,TUNA,ES,300,4000,3,2026-07-12
,16041441,1604144190,90,TUNA,GH,100,4000,3,2026-07-12
,16041600,1604160090,90,ANCHOVIES,PE,100,4000,10,2026-07-12
,16042040,1604204090,90,ANCHOVIES,HR,300,4000,2,2026-02-08
,16055600,1605560000,00,VONGOLE,HR,300,4000,1,2026-02-08
,18050000,1805000000,00,COCOA POWDER,IT,100,4000,2,2026-06-29
,19012000,1901200000,00,CROISSANT,IT,300,4000,1,2026-02-08
,19021910,1902191090,90,PASTA,IT,300,4000,4,2026-04-19
,19021990,1902199090,90,PASTA,IT,300,4000,4,2026-05-31
,19022010,1902201091,91,Stuffed pasta,IT,100,4000,9,2026-05-02
,19022010,1902201099,99,Stuffed pasta,IT,100,4000,33,2026-08-02
,19022030,1902203091,91,Stuffed pasta,IT,100,4000,1,2026-03-23
,19022030,1902203099,99,Stuffed pasta,IT,100,4000,6,2026-05-17
,19022091,1902209190,90,Stuffed pasta,IT,100,4000,2,2026-07-19
,19022099,1902209990,90,FROZEN PASTA,IT,300,4000,3,2026-05-31
,19030000,1903000000,00,TAPIOCA PEARLS,TW,100,4000,2,2026-06-15
,19042095,1904209500,00,RISOTTO,IT,300,4000,1,2026-01-25
,19049010,1904901000,00,VINE LEAVES STUFFED WITH RICE,JO,100,4000,17,2026-08-16
,19052010,1905201000,00,PANFORTE TORTE FLORIANA,IT,100,4000,1,2026-06-28
,19053219,1905321900,00,SWEET WAFFLE AND WAFERS CHOCOLATE COATED READY FOR FILLING,ES,300,4000,4,2026-03-16
,19054010,1905401000,00,BREADSTICKS,IT,300,4000,1,2026-03-02
,19054090,1905409000,00,PITTA BREADS,GR,300,4000,1,2026-06-17
,19059030,1905903000,00,BREAD,IT,300,4000,3,2026-02-22
,19059045,1905904500,00,BISCUITS CANTUCCI AMARETTI,IT,100,4000,1,2026-06-28
,19059070,1905907000,00,frozen CAKES,GR,300,4000,4,2026-06-30
,19059080,1905908000,00,bread,IT,300,4000,3,2026-04-15
,20019020,2001902000,00,STUFFED PEPPERS,GR,300,4000,6,2026-08-16
,20019097,2001909799,99,ONIONS,IT,300,4000,8,2026-08-16
,20021019,2002101900,00,WHOLE PEELED TOMATO,IT,300,4000,1,2026-02-15
,20021090,2002109000,00,TOMATOES,TN,100,4000,27,2026-08-09
,20031030,2003103000,00,MUSHROOMS,IT,300,4000,6,2026-08-02
,20039010,2003901000,00,Truffles,IT,100,4000,3,2026-06-02
,20039090,2003909000,00,PORCINI MUSHROOMS IN OLIVE OIL,IT,100,4000,2,2026-06-02
,20049098,2004909880,80,MELANZANE,EG,100,4000,2,2026-04-12
,20057000,2005700000,00,OLIVES,IT,300,4000,11,2026-07-11
,20059920,2005992090,90,CAPERS,IT,300,4000,2,2026-02-24
,20059930,2005993090,90,VEGETABLES,IT,300,4000,16,2026-08-16
,20059950,2005995090,90,VEGETABLES,IT,300,4000,7,2026-08-16
,20059980,2005998098,98,VEGETABLES,IT,300,4000,3,2026-03-01
,20079935,2007993595,95,RASPBERRY PUREE,IT,300,4000,1,2026-04-12
,20079993,2007999300,00,MANGO PUREE,EC,100,4000,15,2026-08-09
,20089759,2008975919,19,PISTACHIO PATE,US,100,4000,1,2026-03-03
,20089911,2008991100,00,ALOE VERA,TW,100,4000,1,2026-06-15
,20089999,2008999990,90,SWEET RED BEAN BOILED,TW,100,4000,1,2026-03-20
,20091199,2009119998,98,ORANGE JUICE,IT,300,4000,1,2026-04-12
,20091200,2009120010,10,ORANGE JUICE,BR,100,4000,1,2026-06-25
,20091200,2009120090,90,ORANGE JUICE,BR,100,4000,5,2026-08-12
,20093199,2009319990,90,CITRUS JUICE,IT,300,4000,1,2026-04-12
,20094199,2009419990,90,PINEAPPLE JUICE,PH,100,4000,4,2026-06-25
,20094919,2009491990,90,ANANAS JUICE DERBY BOTTLE,IT,300,4000,2,2026-04-10
,20097199,2009719990,90,APPLE JUICE,AT,300,4000,4,2026-08-12
,20097919,2009791990,90,APPLE JUICE,IT,300,4000,2,2026-04-10
,20098979,2009897991,91,ORANGE JUICE,IT,300,4000,1,2026-04-10
,20098979,2009897999,99,red ornage juice,IT,300,4000,1,2026-03-01
,20098999,2009899999,99,FRUIT JUICE,IT,300,4000,1,2026-04-12
,21022090,2102209000,00,SYNBIOFF LA 100B,IT,100,4000,3,2026-08-02
,21032000,2103200000,00,TOMATO SAUCE,IT,300,4000,1,2026-05-31
,21039090,2103909089,89,SAUCES,NL,300,4000,2,2026-02-24
,21041000,2104100089,89,SOUPS,IT,300,4000,2,2026-02-24
,21050010,2105001000,00,ICE CREAM,IT,300,4000,7,2026-08-15
,21050091,2105009100,00,ICE CREAM,IT,300,4000,9,2026-08-15
,21050099,2105009900,00,ICE CREAM,IT,300,4000,4,2026-08-15
,21069098,2106909869,69,ICE CREAM TOPPINGS,IT,300,4000,11,2026-08-16
,22011011,2201101100,00,STILL WATER,IT,100,4000,1,2026-04-21
,22011019,2201101900,00,SPARKLING WATER,IT,100,4000,1,2026-04-21
