rex,general_code,full_code,taric_code,description,origin,preference,procedure,lines,last_used
ITREXIT06167560157,02101111,0210111100,00,CURED MEATS,,,,0,
ITREXIT06167560157,02101211,0210121100,00,PANCETTA,,,,0,
ITREXIT06167560157,02101219,0210121900,00,SMOKED PORK,,,,0,
ITREXIT06167560157,02101981,0210198190,90,PORK NECK,,,,0,
ITREXIT06167560157,02102090,0210209015,15,CUTS OF MEAT,,,,0,
ITREXIT06167560157,04051011,0405101100,00,CHEESE,,,,0,
ITREXIT06167560157,04061030,0406103090,90,MOZZARELLA CHEESE,,,,0,
ITREXIT06167560157,04061050,0406105090,90,CHEESE,,,,0,
ITREXIT06167560157,04061080,0406108080,80,FRESH CHEESE,,,,0,
ITREXIT06167560157,04062000,0406200000,00,GRATED CHEESE,,,,0,
ITREXIT06167560157,04064050,0406405000,00,CHEESE,,,,0,
ITREXIT06167560157,04069061,0406906100,00,GRAN PADANO CHEESE,,,,0,
ITREXIT06167560157,04069063,0406906390,90,PECORINO CHEESE,,,,0,
ITREXIT06167560157,04069069,0406906900,00,CHEESE,,,,0,
ITREXIT06167560157,04069073,0406907300,00,PROVOLONE CHEESE,,,,0,
ITREXIT06167560157,04069075,0406907590,90,ASIAGO CHEESE,,,,0,
ITREXIT06167560157,04069089,0406908990,90,HALLOUMI CHEESE,,,,0,
ITREXIT06167560157,04069092,0406909290,90,GOAT CHEESE,,,,0,
ITREXIT06167560157,04069093,0406909300,00,CHEESE,,,,0,
ITREXIT06167560157,04089980,0408998000,00,EGGS,,,,0,
ITREXIT06167560157,07020010,0702001099,99,TOMATOES,,,,0,
ITREXIT06167560157,07031019,0703101900,00,ONIONS,,,,0,
ITREXIT06167560157,07061000,0706100090,90,CARROTS,,,,0,
ITREXIT06167560157,07070005,0707000599,99,CUCUMBERS,,,,0,
ITREXIT06167560157,07081000,0708100000,00,PEAS,,,,0,
ITREXIT06167560157,07089000,0708900090,90,LENTILS,,,,0,
ITREXIT06167560157,07092000,0709200090,90,ASPARAGUS,,,,0,
ITREXIT06167560157,07093000,0709300090,90,AUBERGINES,,,,0,
ITREXIT06167560157,07094000,0709400090,90,CELERY,,,,0,
ITREXIT06167560157,07095100,0709510000,00,MUSHROOMS,,,,0,
ITREXIT06167560157,07096010,0709601000,00,SWEET PEPPERS,,,,0,
ITREXIT06167560157,07096099,0709609990,90,PEPPERS,,,,0,
ITREXIT06167560157,07099100,0709910000,00,GLOBE ARTICHOKES,,,,0,
ITREXIT06167560157,07099310,0709931000,00,COURGETTES,,,,0,
ITREXIT06167560157,07099910,0709991000,00,MIXED LEAF VEG,,,,0,
ITREXIT06167560157,07099950,0709995000,00,FENNEL,,,,0,
ITREXIT06167560157,07099990,0709999090,90,ROOT VEG,,,,0,
ITREXIT06167560157,07103000,0710300000,00,SPINACH CUBES,,,,0,
ITREXIT06167560157,07108051,0710805100,00,GRILLED PEPPERS,,,,0,
ITREXIT06167560157,07108069,0710806990,90,MUSHROOMS,,,,0,
ITREXIT06167560157,07108085,0710808500,00,ASPARGUS,,,,0,
ITREXIT06167560157,07108095,0710809580,80,ZUCCHINI,,,,0,
ITREXIT06167560157,07109000,0710900000,00,MINESTRONE,,,,0,
ITREXIT06167560157,07114000,0711400000,00,GHERKINS,,,,0,
ITREXIT06167560157,07119080,0711908000,00,CAPERS,,,,0,
ITREXIT06167560157,08051028,0805102890,90,SWEET ORANGES,,,,0,
ITREXIT06167560157,08055010,0805501090,90,LEMONS,,,,0,
ITREXIT06167560157,08061010,0806101090,90,GRAPES,,,,0,
ITREXIT06167560157,08071100,0807110000,00,WATERMELON,,,,0,
ITREXIT06167560157,08071900,0807190090,90,MELONS,,,,0,
ITREXIT06167560157,08091000,0809100000,00,APRICOTS,,,,0,
ITREXIT06167560157,08092900,0809290000,00,CHERRIES,,,,0,
ITREXIT06167560157,08093020,0809302010,10,FLAT PEACHES,,,,0,
ITREXIT06167560157,08093030,0809303000,00,NECTARINES,,,,0,
ITREXIT06167560157,08094005,0809400500,00,PLUMS,,,,0,
